size,heapSort,quickSort,mergeSort,shellSort,countSort,radixSort,bucketSort
10000,68.91012191772461,23.561954498291016,36.48018836975098,47.82533645629883,178.25746536254883,21.3778018951416,12.54725456237793
20000,148.33736419677734,50.0636100769043,76.90262794494629,116.88876152038574,191.9839382171631,45.3035831451416,25.08234977722168
30000,237.9014492034912,80.48057556152344,117.35081672668457,183.17461013793945,196.66409492492676,68.51959228515625,52.67691612243652
40000,323.91953468322754,105.93199729919434,156.67343139648438,277.18663215637207,202.34155654907227,91.24922752380371,50.60434341430664
50000,416.17274284362793,139.9228572845459,199.41401481628418,376.95813179016113,211.2102508544922,118.07107925415039,66.63131713867188
60000,523.9763259887695,175.54712295532227,264.265775680542,447.62325286865234,247.9403018951416,150.15745162963867,81.20298385620117
70000,641.2544250488281,208.10437202453613,322.2537040710449,591.4452075958252,246.2022304534912,179.25763130187988,110.69965362548828
80000,730.6358814239502,239.95018005371094,354.2008399963379,683.14528465271,246.65260314941406,214.2314910888672,120.06902694702148
90000,842.2544002532959,284.1982841491699,396.82769775390625,740.2791976928711,252.15435028076172,239.87889289855957,146.8181610107422
100000,972.0783233642578,321.75230979919434,465.96360206604004,897.0000743865967,273.19860458374023,235.0153923034668,136.2009048461914
110000,1052.0970821380615,346.5297222137451,475.00133514404297,899.9557495117188,260.9677314758301,266.3593292236328,167.4947738647461
120000,1136.012315750122,393.89491081237793,552.9751777648926,1019.6342468261719,275.71892738342285,289.5944118499756,176.20158195495605
130000,1270.5113887786865,405.670166015625,584.9945545196533,1144.8390483856201,277.25815773010254,324.3577480316162,198.87399673461914
140000,1424.7286319732666,469.5746898651123,631.8039894104004,1307.9323768615723,285.2497100830078,343.9149856567383,215.11316299438477
150000,1483.5412502288818,461.14349365234375,694.0374374389648,1308.5269927978516,304.5840263366699,365.9367561340332,227.27441787719727
160000,1570.5726146697998,518.6583995819092,724.7307300567627,1583.106517791748,299.00145530700684,388.98777961730957,232.1033477783203
170000,1715.372085571289,573.9130973815918,786.8831157684326,1743.3016300201416,322.7198123931885,433.36009979248047,269.85907554626465
180000,1915.4510498046875,594.3410396575928,846.1997509002686,1714.0297889709473,361.36341094970703,508.5108280181885,305.32264709472656
190000,2005.0048828125,668.7352657318115,923.2897758483887,1883.3587169647217,329.5021057128906,505.95593452453613,310.05215644836426
200000,2061.4638328552246,667.8411960601807,990.8013343811035,2124.396562576294,362.1711730957031,538.2614135742188,312.9405975341797
210000,2135.004997253418,703.9742469787598,976.2663841247559,2008.460521697998,347.5964069366455,532.6569080352783,334.4104290008545
220000,2251.97434425354,732.4619293212891,1037.0991230010986,2090.540647506714,354.3391227722168,573.2827186584473,336.17401123046875
230000,2387.7112865448,780.1287174224854,1083.259105682373,2477.3731231689453,361.4931106567383,582.4055671691895,348.4768867492676
240000,2493.748664855957,812.6814365386963,1131.8387985229492,2522.5863456726074,369.8151111602783,614.0358448028564,366.68872833251953
250000,2584.977388381958,849.9538898468018,1185.7688426971436,2513.576030731201,386.48247718811035,635.4184150695801,409.85965728759766
260000,2702.0394802093506,855.3223609924316,1230.7400703430176,2705.4481506347656,394.6080207824707,670.7727909088135,406.4624309539795
270000,2826.671600341797,888.8509273529053,1293.6193943023682,2899.9898433685303,416.60070419311523,743.4744834899902,508.7549686431885
280000,3218.5020446777344,1022.7351188659668,1485.7697486877441,3556.825876235962,415.08960723876953,773.4377384185791,487.377405166626
